"Module","Correlation","P_Value"
"ME6",-0.0497065781299803,0.226413051238302
"ME4",0.484357232105469,2.875650547256e-36
"ME5",0.142630830325813,0.0004889561299757
"ME7",-0.264277157688141,5.98444757815365e-11
"ME3",-0.491747209854394,1.71787898244983e-37
"ME1",-0.387441113970444,1.03422764591809e-22
"ME2",-0.320535663910391,1.16661083301497e-15
"ME0",-0.40889593337357,2.40492585132649e-25
