"Gene","Module"
"SYN1","yellow"
"SYT13","yellow"
"TAGLN3","yellow"
"TCERG1L","yellow"
"TDRD9","yellow"
"THSD7A","yellow"
"TMEM151B","yellow"
"TMEM176A","yellow"
"TMEM176B","yellow"
"TNNI3K","yellow"
"TTC36","yellow"
"TWIST1","yellow"
"UNC5C","yellow"
"UNC5D","yellow"
"UNC80","yellow"
"UPK1B","yellow"
"USH1C","yellow"
"VCAM1","yellow"
"VIPR2","yellow"
"VWC2L","yellow"
"WBP2NL","yellow"
"WIF1","yellow"
"WSCD2","yellow"
"XKR7","yellow"
"YPEL4","yellow"
"ZFR2","yellow"
"ZG16B","yellow"
"ZNF177","yellow"
"ZNF418","yellow"
"ZNF593","yellow"
"ZNF662","yellow"
"ZNF883","yellow"
